Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,0.866,3004.980,6.504,10332,-0.119
dodjiesLearn,0.876,3013.114,6.612,10242,-0.119
dodjiesLearn,0.859,3020.931,6.367,10264,-0.119
dodjiesLearn,0.859,3029.081,6.551,10364,-0.119
dodjiesLearn,0.890,3037.251,6.387,10532,-0.119
dodjiesLearn,0.918,3045.697,6.901,10368,-0.119
dodjiesLearn,0.857,3053.607,6.428,10264,-0.119
dodjiesLearn,0.860,3061.641,6.526,10266,-0.119
dodjiesLearn,0.865,3069.446,6.336,10342,-0.119
dodjiesLearn,0.903,3077.580,6.598,10348,-0.119
dodjiesLearn,0.876,3085.519,6.418,10322,-0.119
dodjiesLearn,0.884,3093.563,6.553,10296,-0.119
dodjiesLearn,0.893,3101.492,6.416,10274,-0.120
dodjiesLearn,0.902,3109.555,6.540,10310,-0.120
dodjiesLearn,0.944,3117.976,6.830,10254,-0.120
dodjiesLearn,0.873,3126.123,6.664,10628,-0.120
dodjiesLearn,0.974,3134.808,7.057,10366,-0.120
dodjiesLearn,0.852,3142.920,6.618,10322,-0.120
dodjiesLearn,0.877,3150.869,6.458,10360,-0.120
dodjiesLearn,0.863,3158.627,6.304,10250,-0.120
dodjiesLearn,0.937,3166.650,6.454,10316,-0.120
dodjiesLearn,0.917,3174.978,6.785,10314,-0.120
dodjiesLearn,0.932,3182.834,6.378,10288,-0.120
dodjiesLearn,0.862,3190.872,6.556,10322,-0.120
dodjiesLearn,0.885,3199.711,7.296,10370,-0.120
dodjiesLearn,0.882,3207.600,6.418,10282,-0.120
dodjiesLearn,0.883,3215.748,6.637,10300,-0.120
dodjiesLearn,0.974,3223.589,6.266,10294,-0.120
dodjiesLearn,0.879,3231.576,6.544,10292,-0.120
dodjiesLearn,0.875,3239.908,6.540,10262,-0.120
dodjiesLearn,0.891,3248.005,6.606,10346,-0.120
dodjiesLearn,0.968,3256.056,6.457,10272,-0.120
dodjiesLearn,0.882,3264.018,6.520,10316,-0.121
dodjiesLearn,0.890,3271.888,6.374,10346,-0.121
dodjiesLearn,0.871,3280.034,6.637,10304,-0.121
dodjiesLearn,0.877,3288.362,6.845,10336,-0.121
dodjiesLearn,0.870,3296.206,6.398,10242,-0.121
dodjiesLearn,0.867,3304.075,6.369,10246,-0.121
dodjiesLearn,0.883,3312.304,6.716,10306,-0.122
dodjiesLearn,0.914,3320.400,6.585,10364,-0.121
